2025-09-19T09:01:18.461Z [INFO] [Request] GET / | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:18.483Z [INFO] [Request] GET /booking/1 | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:18.810Z [INFO] [Request] GET /src/main.tsx?v=WNyrA8Uw3taep3ceRUTyI | Body: {} | Query: {"v":"WNyrA8Uw3taep3ceRUTyI"} | Params: {}
2025-09-19T09:01:18.876Z [INFO] [Request] GET /@react-refresh | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:18.878Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=691b99fb | Body: {} | Query: {"v":"691b99fb"} | Params: {}
2025-09-19T09:01:19.917Z [INFO] [Request] GET /src/App.tsx?v=WNyrA8Uw3taep3ceRUTyI | Body: {} | Query: {"v":"WNyrA8Uw3taep3ceRUTyI"} | Params: {}
2025-09-19T09:01:20.022Z [INFO] [Request] GET /@vite/client | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.161Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/wouter.js?v=78866418 | Body: {} | Query: {"v":"78866418"} | Params: {}
2025-09-19T09:01:20.240Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/react-dom_client.js?v=514c2a82 | Body: {} | Query: {"v":"514c2a82"} | Params: {}
2025-09-19T09:01:20.260Z [INFO] [Request] GET /src/lib/queryClient.ts | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.267Z [INFO] [Request] GET /src/index.css?v=WNyrA8Uw3taep3ceRUTyI | Body: {} | Query: {"v":"WNyrA8Uw3taep3ceRUTyI"} | Params: {}
2025-09-19T09:01:20.271Z [INFO] [Request] GET /src/components/ui/toaster.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.273Z [INFO] [Request] GET /src/components/ui/tooltip.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.275Z [INFO] [Request] GET /src/hooks/useAuth.ts | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.277Z [INFO] [Request] GET /src/pages/NotFound.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.279Z [INFO] [Request] GET /src/pages/landing.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.281Z [INFO] [Request] GET /src/pages/login.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.283Z [INFO] [Request] GET /src/pages/home.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.288Z [INFO] [Request] GET /src/pages/facilities.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.290Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@tanstack_react-query.js?v=afb1a54c | Body: {} | Query: {"v":"afb1a54c"} | Params: {}
2025-09-19T09:01:20.291Z [INFO] [Request] GET /src/pages/booking.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.293Z [INFO] [Request] GET /src/pages/EnhancedBooking.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.296Z [INFO] [Request] GET /src/pages/profile.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.298Z [INFO] [Request] GET /src/pages/TestPaymentHistory.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.301Z [INFO] [Request] GET /src/pages/PaymentPage.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.303Z [INFO] [Request] GET /src/pages/PendingPayments.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.307Z [INFO] [Request] GET /src/pages/admin/dashboard.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.309Z [INFO] [Request] GET /src/pages/admin/sports.tsx | Body: {} | Query: {} | Params: {}
